,CPI,Money_Supply,Unemployment
13-Jan,105.9,1355381.191,459.826
13-Feb,106.1,1358466.752,402.9
13-Mar,106.2,1373101.644,442.625
13-Apr,106.3,1382444.062,412.782
13-May,106.6,1398166.295,446.404
13-Jun,106.7,1400408.002,400.223
13-Jul,106.9,1409696.347,431.594
13-Aug,107,1410527.991,442.431
13-Sep,107.9,1416222.29,449.923
13-Oct,108.3,1423582.638,470.096
13-Nov,108.6,1409659.134,490.5
13-Dec,108.9,1436451.851,440.31
14-Jan,109.5,1447905.22,468.529
14-Feb,109.8,1444810.656,461.969
14-Mar,109.9,1459864.067,430.089
14-Apr,109.9,1469619.319,413.471
14-May,110,1476642.709,407.2
14-Jun,110.2,1479547.448,406.4
14-Jul,110.3,1489302.31,397.6
14-Aug,110.5,1480834.241,384.92
14-Sep,110.7,1492807.261,381.764
14-Oct,111.3,1504906.798,379.888
14-Nov,111.9,1517095.952,378.7
14-Dec,111.8,1544160,451.749
15-Jan,110.6,1545765.7,450.3
15-Feb,109.9,1552127.203,461.8
15-Mar,110.9,1583077.523,440.7
15-Apr,111.9,1572159.323,433.3
15-May,112.3,1567577.178,448.3
15-Jun,113,1574349.84,463.2
15-Jul,113.9,1560912.98,472.9
15-Aug,113.9,1561341.621,470.5
15-Sep,113.6,1581305.817,490.3
15-Oct,114.1,1575491.571,481.3
15-Nov,114.8,1583959.753,471.5
15-Dec,114.8,1595853.757,504.3
16-Jan,114.5,1587778.994,501.5
16-Feb,114.5,1603038.206,506.4
16-Mar,113.8,1604254.217,509.5
16-Apr,114.3,1601667.162,511.5
16-May,114.6,1608758.296,504.8
16-Jun,114.8,1611043.396,501.8
16-Jul,115.1,1598473.077,516.2
16-Aug,115.6,1600710.665,515.2
16-Sep,115.3,1620227.392,512.6
16-Oct,115.7,1629123.207,511.7
16-Nov,116.8,1634216.727,510.7
16-Dec,116.8,1647269.478,512.2
17-Jan,118.1,1661936.683,514.1
17-Feb,119.6,1668004.682,514.8
17-Mar,119.4,1680740.387,510.8
17-Apr,119.2,1677515.486,511.9
17-May,119,1689273.633,507.5
17-Jun,118.7,1683468.274,507.7
17-Jul,118.7,1680219.853,519
17-Aug,119.8,1690890.918,516.9
17-Sep,120.1,1708198.006,514.5
17-Oct,120,1719551.528,508.8
17-Nov,120.8,1725763.869,505.1
17-Dec,120.9,1730466.089,505.8
18-Jan,121.3,1743097.443,516.5
18-Feb,121.3,1753500.624,508.5
18-Mar,120.9,1784810.516,508.7
18-Apr,120.9,1806747.893,510
18-May,121.1,1805772.395,504.8
18-Jun,119.6,1808298.705,515.8
18-Jul,119.8,1814049.839,518.6
18-Aug,120,1822041.988,525
18-Sep,120.5,1835249.529,516.4
18-Oct,120.7,1862633.781,512.9
18-Nov,121,1872047.138,516.2
18-Dec,121.1,1885094.174,514.2
19-Jan,120.5,1879010.938,515.6
19-Feb,120.8,1878680.973,516.4
19-Mar,121.1,1889751.064,521.321
19-Apr,121.1,1900579.965,523.303
19-May,121.4,1907296.009,519.817
19-Jun,121.4,1899144.349,521.4
19-Jul,121.5,1899917.373,524.805
19-Aug,121.8,1895997.85,520.182
19-Sep,121.8,1904683.401,521.4
19-Oct,122,1922422.535,512.126
19-Nov,122.1,1923912.427,513.921
19-Dec,122.3,1950567.931,516.991
20-Jan,122.4,1950873.044,511.687
20-Feb,122.4,1948485.88,525.228
20-Mar,120.9,1960826.868,610.537
20-Apr,117.6,1986579.498,778.79
20-May,117.9,2000159.775,826.1
20-Jun,119.1,2014091.425,773.247
20-Jul,119.9,2024041.58,745.1
20-Aug,120.1,2026995.313,741.6
20-Sep,120.1,2033284.547,737.5
20-Oct,120.2,2030760.749,748.2
20-Nov,120,2031849.118,764.392
20-Dec,120.6,2037481.078,772.891
21-Jan,122.1,2043093.475,782.5
21-Feb,122.5,2055196.263,777.5
21-Mar,122.9,2083780.528,753.2
21-Apr,123.1,2073628.238,742.7
21-May,123.1,2076555.322,728.1
21-Jun,123.2,2082273.196,768.7
21-Jul,122.5,2100134.809,778.2
21-Aug,122.5,2098883.986,748.8
21-Sep,122.8,2127284.999,729.6
21-Oct,123.7,2122374.471,705
21-Nov,124,2154570.192,694.4
21-Dec,124.5,2165806.964,687.6
22-Jan,124.9,2171245.839,680.4
22-Feb,125.2,2190249.322,671.8
22-Mar,125.6,2196197.216,669.2
22-Apr,125.9,2209303.372,649.3
22-May,126.6,2218313.903,637.7
22-Jun,127.4,2217856.65,630.6
22-Jul,127.9,2214012.135,620.7
22-Aug,128.2,2232643.359,612
22-Sep,128.3,2247122.039,605
22-Oct,128.6,2248503.462,602
